71: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10022, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 81 })
73: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10033, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 77 })
74: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10000, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 73 })
78: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10037, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 74 })
80: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10043, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 75 })
81: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10034, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 75 })
84: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10001, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 75 })
86: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10032, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 75 })
90: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10048, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 74 })
91: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10049, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 72 })
92: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10008, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 75 })
96: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10020, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 72 })
98: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10019, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 77 })
99: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10014, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 72 })
100: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10006, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 75 })
Pcap mode took 2690us to process the file (2727us including I/O)
