84: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10266, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 77 })
85: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10141, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 74 })
87: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10400, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 77 })
88: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10028, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 76 })
89: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10463, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 74 })
92: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10488, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 80 })
93: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10382, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 83 })
94: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10100, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 78 })
96: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10481, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 80 })
98: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10037, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 77 })
99: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10211, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 80 })
103: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10252, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 79 })
104: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10085, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 80 })
107: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10162, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 76 })
108: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10295, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 79 })
111: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10474, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 78 })
114: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10342, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 76 })
115: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10152, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 79 })
118: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10299, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 74 })
123: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10333, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 76 })
